post_id,platform,timestamp,lang,text,topic,stance,toxicity,is_campaign_suspected,likes,comments,hashtags_joined,source_url
ig_800004,instagram,2025-08-07T12:37:00Z,en,Proud of initiatives driving progress in India—great energy!,India,pro,safe,False,6761,613,#SkillDevelopment;#Innovation,https://instagram.com/p/ig_800004
ig_800007,instagram,2025-08-03T13:10:00Z,en,Proud of initiatives driving progress in India—great energy!,India,pro,safe,False,8271,88,#DigitalLiteracy;#CommunityDevelopment,https://instagram.com/p/ig_800007
ig_800010,instagram,2025-08-20T15:19:00Z,en,Proud of initiatives driving progress in India—great energy!,India,pro,safe,False,985,1296,#StartupEcosystem;#FinancialInclusion,https://instagram.com/p/ig_800010
ig_800013,instagram,2025-07-23T12:27:00Z,en,Proud of initiatives driving progress in India—great energy!,India,pro,safe,False,6364,1255,#WomenInSTEM;#DigitalLiteracy,https://instagram.com/p/ig_800013
ig_800023,instagram,2025-08-01T01:55:00Z,en,Proud of initiatives driving progress in India—great energy!,India,pro,safe,False,10700,588,#Sustainability;#PublicHealth,https://instagram.com/p/ig_800023
ig_800024,instagram,2025-08-03T15:38:00Z,en,Proud of initiatives driving progress in India—great energy!,India,pro,safe,False,11052,714,#YouthVoices;#TechForGood,https://instagram.com/p/ig_800024
ig_800026,instagram,2025-08-22T21:09:00Z,en,Proud of initiatives driving progress in India—great energy!,India,pro,safe,False,4090,1144,#Innovation;#WomenInSTEM,https://instagram.com/p/ig_800026
ig_800036,instagram,2025-08-16T00:51:00Z,en,Proud of initiatives driving progress in India—great energy!,India,pro,safe,False,15555,1279,#Innovation;#StartupEcosystem,https://instagram.com/p/ig_800036
ig_800040,instagram,2025-07-24T02:32:00Z,en,Proud of initiatives driving progress in India—great energy!,India,pro,safe,False,10859,1233,#DigitalLiteracy;#SkillDevelopment,https://instagram.com/p/ig_800040
ig_800041,instagram,2025-08-11T17:11:00Z,en,Proud of initiatives driving progress in India—great energy!,India,pro,safe,False,11522,363,#WomenInSTEM;#Innovation,https://instagram.com/p/ig_800041
ig_800042,instagram,2025-08-14T09:32:00Z,en,Proud of initiatives driving progress in India—great energy!,India,pro,safe,False,17434,222,#FinancialInclusion;#PublicHealth,https://instagram.com/p/ig_800042
ig_800047,instagram,2025-07-20T02:45:00Z,en,Proud of initiatives driving progress in India—great energy!,India,pro,safe,False,1027,1,#DigitalLiteracy;#RoadSafety,https://instagram.com/p/ig_800047
ig_800048,instagram,2025-07-30T14:44:00Z,en,Proud of initiatives driving progress in India—great energy!,India,pro,safe,False,2238,923,#CommunityDevelopment;#FinancialInclusion,https://instagram.com/p/ig_800048
ig_800052,instagram,2025-07-18T02:37:00Z,en,Proud of initiatives driving progress in India—great energy!,India,pro,safe,False,1587,42,#StartupEcosystem;#PublicHealth,https://instagram.com/p/ig_800052
ig_800054,instagram,2025-07-18T11:08:00Z,en,Proud of initiatives driving progress in India—great energy!,India,pro,safe,False,3594,790,#CleanEnergy;#WomenInSTEM,https://instagram.com/p/ig_800054
ig_800061,instagram,2025-08-17T15:55:00Z,en,Proud of initiatives driving progress in India—great energy!,India,pro,safe,False,2725,1379,#SkillDevelopment;#Innovation,https://instagram.com/p/ig_800061
ig_800063,instagram,2025-08-07T09:33:00Z,en,Proud of initiatives driving progress in India—great energy!,India,pro,safe,False,12762,1334,#Innovation;#PublicHealth,https://instagram.com/p/ig_800063
ig_800064,instagram,2025-07-17T12:16:00Z,en,Proud of initiatives driving progress in India—great energy!,India,pro,safe,False,13089,58,#FinancialInclusion;#CivicEngagement,https://instagram.com/p/ig_800064
ig_800065,instagram,2025-07-28T19:53:00Z,en,Proud of initiatives driving progress in India—great energy!,India,pro,safe,False,17747,1295,#StartupEcosystem;#Sustainability,https://instagram.com/p/ig_800065
ig_800068,instagram,2025-08-10T20:36:00Z,en,Proud of initiatives driving progress in India—great energy!,India,pro,safe,False,9163,577,#CivicEngagement;#WomenInSTEM,https://instagram.com/p/ig_800068
ig_800070,instagram,2025-07-31T08:03:00Z,en,Proud of initiatives driving progress in India—great energy!,India,pro,safe,False,6624,278,#CleanEnergy;#EducationReform,https://instagram.com/p/ig_800070
ig_800074,instagram,2025-07-18T11:52:00Z,en,Proud of initiatives driving progress in India—great energy!,India,pro,safe,False,7238,1205,#CommunityDevelopment;#TechForGood,https://instagram.com/p/ig_800074
ig_800078,instagram,2025-07-15T15:19:00Z,en,Proud of initiatives driving progress in India—great energy!,India,pro,safe,False,6058,563,#SkillDevelopment;#ClimateAction,https://instagram.com/p/ig_800078
ig_800095,instagram,2025-08-09T02:13:00Z,en,Proud of initiatives driving progress in India—great energy!,India,pro,safe,False,19916,27,#EducationReform;#StartupEcosystem,https://instagram.com/p/ig_800095
ig_800096,instagram,2025-07-18T01:04:00Z,en,Proud of initiatives driving progress in India—great energy!,India,pro,safe,False,17361,79,#CivicEngagement;#StartupEcosystem,https://instagram.com/p/ig_800096
ig_800098,instagram,2025-07-28T22:21:00Z,en,Proud of initiatives driving progress in India—great energy!,India,pro,safe,False,10437,1016,#Innovation;#CivicEngagement,https://instagram.com/p/ig_800098
ig_800101,instagram,2025-08-20T09:18:00Z,en,Proud of initiatives driving progress in India—great energy!,India,pro,safe,False,15108,34,#DigitalLiteracy;#WomenInSTEM,https://instagram.com/p/ig_800101
ig_800102,instagram,2025-08-11T07:02:00Z,en,Proud of initiatives driving progress in India—great energy!,India,pro,safe,False,6229,400,#PublicHealth;#StartupEcosystem,https://instagram.com/p/ig_800102
ig_800104,instagram,2025-07-15T08:26:00Z,en,Proud of initiatives driving progress in India—great energy!,India,pro,safe,False,17331,1007,#WomenInSTEM;#CivicEngagement,https://instagram.com/p/ig_800104
ig_800108,instagram,2025-08-08T02:58:00Z,en,Proud of initiatives driving progress in India—great energy!,India,pro,safe,False,15387,947,#EducationReform;#ClimateAction,https://instagram.com/p/ig_800108
ig_800110,instagram,2025-08-22T09:10:00Z,en,Proud of initiatives driving progress in India—great energy!,India,pro,safe,False,14259,656,#CommunityDevelopment;#WomenInSTEM,https://instagram.com/p/ig_800110
ig_800112,instagram,2025-07-28T03:07:00Z,en,Proud of initiatives driving progress in India—great energy!,India,pro,safe,False,11756,1196,#DigitalLiteracy;#PublicHealth,https://instagram.com/p/ig_800112
ig_800119,instagram,2025-08-18T00:33:00Z,en,Proud of initiatives driving progress in India—great energy!,India,pro,safe,False,18444,316,#Innovation;#EducationReform,https://instagram.com/p/ig_800119
ig_800121,instagram,2025-08-18T06:36:00Z,en,Proud of initiatives driving progress in India—great energy!,India,pro,safe,False,5649,112,#FinancialInclusion;#YouthVoices,https://instagram.com/p/ig_800121
ig_800124,instagram,2025-07-24T12:42:00Z,en,Proud of initiatives driving progress in India—great energy!,India,pro,safe,False,6579,1288,#CommunityDevelopment;#PublicHealth,https://instagram.com/p/ig_800124
ig_800128,instagram,2025-07-31T19:19:00Z,en,Proud of initiatives driving progress in India—great energy!,India,pro,safe,False,19794,904,#EducationReform;#TechForGood,https://instagram.com/p/ig_800128
ig_800129,instagram,2025-07-25T09:20:00Z,en,Proud of initiatives driving progress in India—great energy!,India,pro,safe,False,13694,413,#Innovation;#CleanEnergy,https://instagram.com/p/ig_800129
ig_800130,instagram,2025-07-29T14:09:00Z,en,Proud of initiatives driving progress in India—great energy!,India,pro,safe,False,902,657,#EducationReform;#YouthVoices,https://instagram.com/p/ig_800130
ig_800132,instagram,2025-07-20T09:03:00Z,en,Proud of initiatives driving progress in India—great energy!,India,pro,safe,False,4503,798,#WomenInSTEM;#RoadSafety,https://instagram.com/p/ig_800132
ig_800134,instagram,2025-07-25T17:55:00Z,en,Proud of initiatives driving progress in India—great energy!,India,pro,safe,False,6571,637,#ClimateAction;#WomenInSTEM,https://instagram.com/p/ig_800134
ig_800137,instagram,2025-07-19T22:55:00Z,en,Proud of initiatives driving progress in India—great energy!,India,pro,safe,False,9813,18,#WomenInSTEM;#DigitalLiteracy,https://instagram.com/p/ig_800137
ig_800138,instagram,2025-08-02T08:11:00Z,en,Proud of initiatives driving progress in India—great energy!,India,pro,safe,False,9388,1165,#FinancialInclusion;#CivicEngagement,https://instagram.com/p/ig_800138
ig_800139,instagram,2025-08-23T09:14:00Z,en,Proud of initiatives driving progress in India—great energy!,India,pro,safe,False,19097,247,#Innovation;#DigitalLiteracy,https://instagram.com/p/ig_800139
ig_800140,instagram,2025-08-19T12:56:00Z,en,Proud of initiatives driving progress in India—great energy!,India,pro,safe,False,17615,1450,#CivicEngagement;#SkillDevelopment,https://instagram.com/p/ig_800140
ig_800142,instagram,2025-07-29T06:11:00Z,en,Proud of initiatives driving progress in India—great energy!,India,pro,safe,False,7129,513,#YouthVoices;#StartupEcosystem,https://instagram.com/p/ig_800142
ig_800144,instagram,2025-07-27T10:41:00Z,en,Proud of initiatives driving progress in India—great energy!,India,pro,safe,False,61,855,#StartupEcosystem;#Sustainability,https://instagram.com/p/ig_800144
ig_800146,instagram,2025-07-29T22:46:00Z,en,Proud of initiatives driving progress in India—great energy!,India,pro,safe,False,19988,1115,#ClimateAction;#FinancialInclusion,https://instagram.com/p/ig_800146
ig_800148,instagram,2025-08-23T03:20:00Z,en,Proud of initiatives driving progress in India—great energy!,India,pro,safe,False,9572,1399,#CommunityDevelopment;#WomenInSTEM,https://instagram.com/p/ig_800148
ig_800157,instagram,2025-07-17T10:10:00Z,en,Proud of initiatives driving progress in India—great energy!,India,pro,safe,False,1355,977,#YouthVoices;#ClimateAction,https://instagram.com/p/ig_800157
ig_800164,instagram,2025-08-04T20:15:00Z,en,Proud of initiatives driving progress in India—great energy!,India,pro,safe,False,16408,871,#YouthVoices;#CommunityDevelopment,https://instagram.com/p/ig_800164
ig_800175,instagram,2025-07-18T09:41:00Z,en,Proud of initiatives driving progress in India—great energy!,India,pro,safe,False,9267,1041,#Sustainability;#DigitalLiteracy,https://instagram.com/p/ig_800175
ig_800176,instagram,2025-08-18T18:38:00Z,en,Proud of initiatives driving progress in India—great energy!,India,pro,safe,False,19947,1370,#SkillDevelopment;#ClimateAction,https://instagram.com/p/ig_800176
ig_800182,instagram,2025-07-21T04:06:00Z,en,Proud of initiatives driving progress in India—great energy!,India,pro,safe,False,13324,546,#TechForGood;#StartupEcosystem,https://instagram.com/p/ig_800182
ig_800185,instagram,2025-07-18T01:19:00Z,en,Proud of initiatives driving progress in India—great energy!,India,pro,safe,False,6226,1406,#RoadSafety;#Sustainability,https://instagram.com/p/ig_800185
ig_800187,instagram,2025-07-20T11:29:00Z,en,Proud of initiatives driving progress in India—great energy!,India,pro,safe,False,9296,1106,#CivicEngagement;#ClimateAction,https://instagram.com/p/ig_800187
ig_800191,instagram,2025-07-16T02:55:00Z,en,Proud of initiatives driving progress in India—great energy!,India,pro,safe,False,5569,880,#StartupEcosystem;#Innovation,https://instagram.com/p/ig_800191
ig_800197,instagram,2025-08-03T01:22:00Z,en,Proud of initiatives driving progress in India—great energy!,India,pro,safe,False,4475,447,#RoadSafety;#TechForGood,https://instagram.com/p/ig_800197
ig_800198,instagram,2025-08-24T00:25:00Z,en,Proud of initiatives driving progress in India—great energy!,India,pro,safe,False,17732,605,#ClimateAction;#PublicHealth,https://instagram.com/p/ig_800198
ig_800204,instagram,2025-07-21T18:10:00Z,en,Proud of initiatives driving progress in India—great energy!,India,pro,safe,False,5852,34,#DigitalLiteracy;#PublicHealth,https://instagram.com/p/ig_800204
ig_800206,instagram,2025-07-20T20:42:00Z,en,Proud of initiatives driving progress in India—great energy!,India,pro,safe,False,8779,700,#RoadSafety;#ClimateAction,https://instagram.com/p/ig_800206
ig_800207,instagram,2025-08-07T07:28:00Z,en,Proud of initiatives driving progress in India—great energy!,India,pro,safe,False,10931,458,#TechForGood;#SkillDevelopment,https://instagram.com/p/ig_800207
ig_800210,instagram,2025-08-12T17:01:00Z,en,Proud of initiatives driving progress in India—great energy!,India,pro,safe,False,2780,98,#FinancialInclusion;#CleanEnergy,https://instagram.com/p/ig_800210
ig_800211,instagram,2025-08-04T01:17:00Z,en,Proud of initiatives driving progress in India—great energy!,India,pro,safe,False,12977,1431,#YouthVoices;#ClimateAction,https://instagram.com/p/ig_800211
ig_800215,instagram,2025-07-20T03:15:00Z,en,Proud of initiatives driving progress in India—great energy!,India,pro,safe,False,342,403,#RoadSafety;#CivicEngagement,https://instagram.com/p/ig_800215
ig_800220,instagram,2025-08-23T06:29:00Z,en,Proud of initiatives driving progress in India—great energy!,India,pro,safe,False,13616,737,#DigitalLiteracy;#YouthVoices,https://instagram.com/p/ig_800220
ig_800221,instagram,2025-07-22T17:19:00Z,en,Proud of initiatives driving progress in India—great energy!,India,pro,safe,False,16196,443,#CommunityDevelopment;#ClimateAction,https://instagram.com/p/ig_800221
ig_800222,instagram,2025-07-25T09:58:00Z,en,Proud of initiatives driving progress in India—great energy!,India,pro,safe,False,9366,832,#DigitalLiteracy;#StartupEcosystem,https://instagram.com/p/ig_800222
ig_800225,instagram,2025-08-17T21:48:00Z,en,Proud of initiatives driving progress in India—great energy!,India,pro,safe,False,9517,1108,#StartupEcosystem;#YouthVoices,https://instagram.com/p/ig_800225
ig_800231,instagram,2025-08-20T09:28:00Z,en,Proud of initiatives driving progress in India—great energy!,India,pro,safe,False,5663,1206,#CommunityDevelopment;#CivicEngagement,https://instagram.com/p/ig_800231
ig_800236,instagram,2025-07-30T18:01:00Z,en,Proud of initiatives driving progress in India—great energy!,India,pro,safe,False,3817,1073,#Innovation;#RoadSafety,https://instagram.com/p/ig_800236
ig_800238,instagram,2025-08-05T07:12:00Z,en,Proud of initiatives driving progress in India—great energy!,India,pro,safe,False,8347,35,#WomenInSTEM;#TechForGood,https://instagram.com/p/ig_800238
ig_800240,instagram,2025-08-07T01:40:00Z,en,Proud of initiatives driving progress in India—great energy!,India,pro,safe,False,6298,1049,#Sustainability;#CleanEnergy,https://instagram.com/p/ig_800240
ig_800241,instagram,2025-08-15T12:27:00Z,en,Proud of initiatives driving progress in India—great energy!,India,pro,safe,False,15560,1086,#FinancialInclusion;#TechForGood,https://instagram.com/p/ig_800241
ig_800244,instagram,2025-08-17T04:37:00Z,en,Proud of initiatives driving progress in India—great energy!,India,pro,safe,False,9304,506,#Sustainability;#PublicHealth,https://instagram.com/p/ig_800244
ig_800245,instagram,2025-08-07T02:02:00Z,en,Proud of initiatives driving progress in India—great energy!,India,pro,safe,False,15019,980,#PublicHealth;#DigitalLiteracy,https://instagram.com/p/ig_800245
ig_800247,instagram,2025-08-12T12:38:00Z,en,Proud of initiatives driving progress in India—great energy!,India,pro,safe,False,17269,421,#Innovation;#DigitalLiteracy,https://instagram.com/p/ig_800247
ig_800250,instagram,2025-08-11T23:20:00Z,en,Proud of initiatives driving progress in India—great energy!,India,pro,safe,False,12747,575,#TechForGood;#CleanEnergy,https://instagram.com/p/ig_800250
ig_800253,instagram,2025-08-24T11:01:00Z,en,Proud of initiatives driving progress in India—great energy!,India,pro,safe,False,12035,1480,#CommunityDevelopment;#EducationReform,https://instagram.com/p/ig_800253
ig_800257,instagram,2025-07-23T14:23:00Z,en,Proud of initiatives driving progress in India—great energy!,India,pro,safe,False,734,945,#RoadSafety;#Innovation,https://instagram.com/p/ig_800257
